N°,Canal,Fragmento,Tema principal,Tono,Actor/Área,Momento recorrido,Observación clave
1,X,¿Soy yo o el campus nuevo de la UMP está rarísimo este semestre?,Matrícula/Acceso,Negativo,Campus virtual,Inicio,Problemas de coordinación/comunicación
2,Instagram,"La plataforma se ve más linda, pero encontrar mis horarios fue un drama.",Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
3,Foro estudiantil,A alguien más no le aparece la inscripción validada aunque ya pagó?,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
4,Facebook,Mi hijo empieza esta semana y todavía no sabe en qué sala va su primer ramo.,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
5,X,“Bienvenidos al semestre” y uno todavía esperando que le activen el acceso.,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
6,Instagram,"Los profes bien hasta ahora, lo que está pésimo es todo lo previo para entrar.",Comunicación,Negativo,Docencia,Inicio,Problemas de coordinación/comunicación
7,Google Review,"La experiencia académica no es mala, pero la gestión administrativa desespera.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
8,Foro estudiantil,Me mandaron de admisión a finanzas y de finanzas a soporte. Nadie resuelve nada.,Comunicación,Negativo,Soporte,Inicio,Problemas de coordinación/comunicación
9,X,Si no fuera por el grupo de compañeros ni me entero del cambio de horario.,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
10,Facebook,"Lo peor no es el sistema, es que cada área dice algo distinto.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
11,X,"Pensé que el problema era el campus, pero al final era que mi matrícula seguía “en revisión”.",Matrícula/Acceso,Negativo,Campus virtual,Inicio,Problemas de coordinación/comunicación
12,Instagram,Mucha innovación digital pero confirmar el pago toma siglos.,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
13,Foro estudiantil,"Inscribí los ramos, salieron guardados y después desaparecieron.",Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
14,Facebook,Las clases partieron y mi hija seguía como “estudiante no vigente”.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
15,X,El tutorial dice una cosa y la plataforma otra. Tremendo onboarding.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
16,Instagram,"Cuando por fin entras, el contenido está ok. El caos es llegar a ese punto.",Comunicación,Mixto,General,Inicio,Problemas de coordinación/comunicación
17,Foro estudiantil,Soporte responde con plantillas que no resuelven la duda específica.,Comunicación,Negativo,Soporte,Inicio,Problemas de coordinación/comunicación
18,Google Review,"Buena universidad, mala coordinación entre áreas.",Comunicación,Mixto,General,Inicio,Problemas de coordinación/comunicación
19,X,Todo el mundo culpando al campus y el problema real parece ser la activación.,Matrícula/Acceso,Negativo,Campus virtual,Inicio,Problemas de coordinación/comunicación
20,Facebook,No entiendo por qué cobran a tiempo pero habilitan tarde.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
21,X,Mi horario salió incompleto y luego me dijeron que “esperara la sincronización”.,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
22,Instagram,¿Alguien sabe si ya se liberaron las secciones? En la web sale una cosa y en el correo otra.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
23,Foro estudiantil,"La clase no estuvo mal, pero entré 20 minutos tarde porque nunca llegó el enlace actualizado.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
24,Facebook,"Mi sobrino dice que el profe excelente, pero pasó dos días sin saber si estaba inscrito.",Comunicación,Mixto,Docencia,Inicio,Problemas de coordinación/comunicación
25,X,"La conversación no debería ser “qué mala la app”, sino “qué mala la comunicación”.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
26,Instagram,Da ansiedad no saber si estás realmente matriculado hasta último minuto.,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
27,Foro estudiantil,Me rechazaron un comprobante que el año pasado sí aceptaban. Nadie avisó del cambio.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
28,Google Review,No tengo problema con los contenidos. Mi problema fue poder empezar.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
29,X,Qué difícil confiar si cada correo trae instrucciones distintas.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
30,Facebook,"Los canales existen, pero no se hablan entre sí.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
31,X,"A mí sí me funciona el campus, lo que no funcionó fue enterarme a tiempo de cómo ingresar.",Matrícula/Acceso,Negativo,Campus virtual,Inicio,Problemas de coordinación/comunicación
32,Instagram,"Entre admisión, registro, finanzas y soporte te hacen una maratón.",Comunicación,Negativo,Soporte,Inicio,Problemas de coordinación/comunicación
33,Foro estudiantil,Lo raro es que no todos tienen el mismo problema; a algunos les activan rápido y a otros no.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
34,Facebook,Mi hijo ya estaba pagando la segunda cuota y todavía figuraba con bloqueo.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
35,X,Hay demasiada fricción para algo tan básico como empezar el semestre.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
36,Instagram,La interfaz nueva no me molesta. Me molesta la incertidumbre.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
37,Foro estudiantil,Tres tickets abiertos para una sola cosa: que aparezcan mis ramos.,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
38,Google Review,Lo académico cumple. La postulación y matrícula son la pesadilla.,Matrícula/Acceso,Mixto,General,Inicio,Problemas de coordinación/comunicación
39,X,"Si la UMP ordenara la entrada, bajaría la mitad de las quejas.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
40,Facebook,"Al final el problema no es una gran falla técnica, es la cadena de confusiones.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
41,X,Me llegó el correo de bienvenida antes que la confirmación de matrícula. Surreal.,Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
42,Instagram,Todo se siente improvisado aunque el sistema “funcione”.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
43,Foro estudiantil,"Pregunté por chat, por correo y por teléfono. Tres respuestas distintas.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
44,Facebook,"La universidad debería mapear el recorrido del estudiante, no solo lanzar plataformas nuevas.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
45,X,"Más que enojo, esto genera sensación de abandono.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
46,Instagram,El campus carga bien. Lo que no carga es la información correcta.,Matrícula/Acceso,Negativo,Campus virtual,Inicio,Problemas de coordinación/comunicación
47,Foro estudiantil,"Mi sección cambió dos veces y me enteré por compañeros, no por la U.",Matrícula/Acceso,Negativo,General,Inicio,Problemas de coordinación/comunicación
48,Google Review,"No recomendaría el proceso de ingreso, aunque la docencia sea buena.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
49,X,Hay una desconexión total entre promesa digital y experiencia real.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
50,Facebook,"Uno termina dudando de si hizo algo mal, porque nadie confirma nada claramente.",Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
51,X,La conversación en redes está llena de “no sé si quedé listo”. Eso ya dice mucho.,Comunicación,Negativo,General,Inicio,Problemas de coordinación/comunicación
